スポット名,緯度,経度,信頼度,ソース
磯漁港,35.690673,134.9949181,high,"https://www.google.com/maps/search/%E7%A3%AF%E6%BC%81%E6%B8%AF%20%E4%BA%AC%E4%B8%B9%E5%BE%8C%E5%B8%82%20%E9%87%A3%E3%82%8A"
浜詰漁港,35.6723784,134.9639445,high,"https://www.google.com/maps/search/%E6%B5%9C%E8%A9%B0%E6%BC%81%E6%B8%AF%20%E4%BA%AC%E4%B8%B9%E5%BE%8C%E5%B8%82%20%E9%87%A3%E3%82%8A"
蒲井漁港,,,未取得,
旭漁港,,,未取得,
間人漁港,35.734689,135.0910639,high,"https://www.google.com/maps/search/%E9%96%93%E4%BA%BA%E6%BC%81%E6%B8%AF%20%E4%BA%AC%E4%B8%B9%E5%BE%8C%E5%B8%82%20%E9%87%A3%E3%82%8A"
浅茂川漁港,35.691519,135.0120444,high,"https://www.google.com/maps/search/%E6%B5%85%E8%8C%82%E5%B7%9D%E6%BC%81%E6%B8%AF%20%E4%BA%AC%E4%B8%B9%E5%BE%8C%E5%B8%82%20%E9%87%A3%E3%82%8A"
中浜漁港,35.7606605,135.177583,high,"https://www.google.com/maps/search/%E4%B8%AD%E6%B5%9C%E6%BC%81%E6%B8%AF%20%E4%BA%AC%E4%B8%B9%E5%BE%8C%E5%B8%82%20%E9%87%A3%E3%82%8A"
経ヶ岬,35.7218299,135.0782453,high,"https://www.google.com/maps/search/%E7%B5%8C%E3%83%B6%E5%B2%AC%20%E4%BA%AC%E4%B8%B9%E5%BE%8C%E5%B8%82%20%E9%87%A3%E3%82%8A"
城島,35.6214071,135.2077428,high,"https://www.google.com/maps/search/%E5%9F%8E%E5%B3%B6%20%E5%AE%AE%E6%B4%A5%E5%B8%82%20%E9%87%A3%E3%82%8A"
栗田半島,35.5612408,135.231983,high,"https://www.google.com/maps/search/%E6%A0%97%E7%94%B0%E5%8D%8A%E5%B3%B6%20%E5%AE%AE%E6%B4%A5%E5%B8%82%20%E9%87%A3%E3%82%8A"
琴引浜,35.7030617,135.0301932,high,"https://www.google.com/maps/search/%E7%90%B4%E5%BC%95%E6%B5%9C%20%E4%BA%AC%E4%B8%B9%E5%BE%8C%E5%B8%82%20%E9%87%A3%E3%82%8A"
八丁浜,35.7122603,135.0707637,high,"https://www.google.com/maps/search/%E5%85%AB%E4%B8%81%E6%B5%9C%20%E4%BA%AC%E4%B8%B9%E5%BE%8C%E5%B8%82%20%E9%87%A3%E3%82%8A"
小天橋,35.6724374,134.9838069,high,"https://www.google.com/maps/search/%E5%B0%8F%E5%A4%A9%E6%A9%8B%20%E4%BA%AC%E4%B8%B9%E5%BE%8C%E5%B8%82%20%E9%87%A3%E3%82%8A"
天橋立,35.5985709,135.1963684,high,"https://www.google.com/maps/search/%E5%A4%A9%E6%A9%8B%E7%AB%8B%20%E5%AE%AE%E6%B4%A5%E5%B8%82%20%E9%87%A3%E3%82%8A"
舞鶴親海公園,,,未取得,
由良川河口,35.512939,135.287515,high,"https://www.google.com/maps/search/%E7%94%B1%E8%89%AF%E5%B7%9D%E6%B2%B3%E5%8F%A3%20%E8%88%9E%E9%B6%B4%E5%B8%82%20%E9%87%A3%E3%82%8A"
久美浜湾,,,未取得,
大丹生漁港,35.5359518,135.3942595,high,"https://www.google.com/maps/search/%E5%A4%A7%E4%B8%B9%E7%94%9F%E6%BC%81%E6%B8%AF%20%E8%88%9E%E9%B6%B4%E5%B8%82%20%E9%87%A3%E3%82%8A"
白杉漁港,35.5039639,135.3339594,high,"https://www.google.com/maps/search/%E7%99%BD%E6%9D%89%E6%BC%81%E6%B8%AF%20%E8%88%9E%E9%B6%B4%E5%B8%82%20%E9%87%A3%E3%82%8A"
