スポット名,緯度,経度,信頼度,ソース
江津良漁港,33.5858085,135.3335404,high,"https://www.google.com/maps/search/%E6%B1%9F%E6%B4%A5%E8%89%AF%E6%BC%81%E6%B8%AF%20%E7%99%BD%E6%B5%9C%E7%94%BA%20%E9%87%A3%E3%82%8A"
瀬戸漁港,33.8866601,135.0242517,high,"https://www.google.com/maps/search/%E7%80%AC%E6%88%B8%E6%BC%81%E6%B8%AF%20%E7%99%BD%E6%B5%9C%E7%94%BA%20%E9%87%A3%E3%82%8A"
湯崎漁港,33.6766501,135.3385653,high,"https://www.google.com/maps/search/%E6%B9%AF%E5%B4%8E%E6%BC%81%E6%B8%AF%20%E7%99%BD%E6%B5%9C%E7%94%BA%20%E9%87%A3%E3%82%8A"
鴨居漁港,,,未取得,
安久川漁港,33.617382,135.324148,high,"https://www.google.com/maps/search/%E5%AE%89%E4%B9%85%E5%B7%9D%E6%BC%81%E6%B8%AF%20%E7%99%BD%E6%B5%9C%E7%94%BA%20%E9%87%A3%E3%82%8A"
中漁港,,,未取得,
袋漁港,33.62844919,135.39696693,high,"https://tsuriba.info/spot/1187"
朝来帰漁港,33.60860599,135.39138794,high,"https://tsuriba.info/spot/1189"
市江漁港,33.58624676,135.40307164,high,"https://tsuriba.info/spot/1190"
笠甫漁港,33.57948066,135.41750193,high,"https://tsuriba.info/spot/1191"
伊古木漁港,33.55191023,135.45895815,high,"https://tsuriba.info/spot/1194"
口和深漁港,33.5230981,135.5750283,high,"https://www.google.com/maps/search/%E5%8F%A3%E5%92%8C%E6%B7%B1%E6%BC%81%E6%B8%AF%20%E3%81%99%E3%81%95%E3%81%BF%E7%94%BA%20%E9%87%A3%E3%82%8A"
周参見漁港,33.5488896,135.4548375,high,"https://www.google.com/maps/search/%E5%91%A8%E5%8F%82%E8%A6%8B%E6%BC%81%E6%B8%AF%20%E3%81%99%E3%81%95%E3%81%BF%E7%94%BA%20%E9%87%A3%E3%82%8A"
見老津漁港,33.51066332,135.57744741,high,"https://tsuriba.info/spot/1195"
江須ノ川漁港,33.506465,135.5897501,high,"https://www.google.com/maps/search/%E6%B1%9F%E9%A0%88%E3%83%8E%E5%B7%9D%E6%BC%81%E6%B8%AF%20%E3%81%99%E3%81%95%E3%81%BF%E7%94%BA%20%E9%87%A3%E3%82%8A"
江住漁港,33.5086072,135.6077601,high,"https://www.google.com/maps/search/%E6%B1%9F%E4%BD%8F%E6%BC%81%E6%B8%AF%20%E3%81%99%E3%81%95%E3%81%BF%E7%94%BA%20%E9%87%A3%E3%82%8A"
里野漁港,33.5488896,135.4198186,high,"https://www.google.com/maps/search/%E9%87%8C%E9%87%8E%E6%BC%81%E6%B8%AF%20%E3%81%99%E3%81%95%E3%81%BF%E7%94%BA%20%E9%87%A3%E3%82%8A"
舟波漁港,33.4973065,135.5901624,high,"https://www.google.com/maps/search/%E8%88%9F%E6%B3%A2%E6%BC%81%E6%B8%AF%20%E4%B8%B2%E6%9C%AC%E7%94%BA%20%E9%87%A3%E3%82%8A"
安指漁港,33.490273,135.6733823,high,"https://www.google.com/maps/search/%E5%AE%89%E6%8C%87%E6%BC%81%E6%B8%AF%20%E4%B8%B2%E6%9C%AC%E7%94%BA%20%E9%87%A3%E3%82%8A"
田子漁港,,,未取得,
江田漁港,33.4924354,135.6676788,high,"https://www.google.com/maps/search/%E6%B1%9F%E7%94%B0%E6%BC%81%E6%B8%AF%20%E4%B8%B2%E6%9C%AC%E7%94%BA%20%E9%87%A3%E3%82%8A"
野凪漁港,33.4801205,135.7566557,high,"https://www.google.com/maps/search/%E9%87%8E%E5%87%AA%E6%BC%81%E6%B8%AF%20%E4%B8%B2%E6%9C%AC%E7%94%BA%20%E9%87%A3%E3%82%8A"
田並漁港,33.48647124,135.70878983,high,"https://tsuriba.info/spot/519"
須賀漁港,33.4727885,135.7625317,high,"https://www.google.com/maps/search/%E9%A0%88%E8%B3%80%E6%BC%81%E6%B8%AF%20%E4%B8%B2%E6%9C%AC%E7%94%BA%20%E9%87%A3%E3%82%8A"
菖蒲谷漁港,33.4978705,135.6707688,high,"https://www.google.com/maps/search/%E8%8F%96%E8%92%B2%E8%B0%B7%E6%BC%81%E6%B8%AF%20%E4%B8%B2%E6%9C%AC%E7%94%BA%20%E9%87%A3%E3%82%8A"
黒島漁港,33.4821669,135.7625317,high,"https://www.google.com/maps/search/%E9%BB%92%E5%B3%B6%E6%BC%81%E6%B8%AF%20%E4%B8%B2%E6%9C%AC%E7%94%BA%20%E9%87%A3%E3%82%8A"
船瀬漁港,33.4652532,135.7559406,high,"https://www.google.com/maps/search/%E8%88%B9%E7%80%AC%E6%BC%81%E6%B8%AF%20%E4%B8%B2%E6%9C%AC%E7%94%BA%20%E9%87%A3%E3%82%8A"
串本漁港,33.4700898,135.7485036,high,"https://www.google.com/maps/search/%E4%B8%B2%E6%9C%AC%E6%BC%81%E6%B8%AF%20%E4%B8%B2%E6%9C%AC%E7%94%BA%20%E9%87%A3%E3%82%8A"
出雲漁港,33.4748451,135.7796047,high,"https://www.google.com/maps/search/%E5%87%BA%E9%9B%B2%E6%BC%81%E6%B8%AF%20%E4%B8%B2%E6%9C%AC%E7%94%BA%20%E9%87%A3%E3%82%8A"
橋杭漁港,33.4753411,135.7625317,high,"https://www.google.com/maps/search/%E6%A9%8B%E6%9D%AD%E6%BC%81%E6%B8%AF%20%E4%B8%B2%E6%9C%AC%E7%94%BA%20%E9%87%A3%E3%82%8A"
大島漁港,33.4710127,135.7848079,high,"https://www.google.com/maps/search/%E5%A4%A7%E5%B3%B6%E6%BC%81%E6%B8%AF%20%E4%B8%B2%E6%9C%AC%E7%94%BA%20%E9%87%A3%E3%82%8A"
動鳴気漁港,33.4801205,135.7632468,high,"https://www.google.com/maps/search/%E5%8B%95%E9%B3%B4%E6%B0%97%E6%BC%81%E6%B8%AF%20%E4%B8%B2%E6%9C%AC%E7%94%BA%20%E9%87%A3%E3%82%8A"
樫野漁港,33.47187579,135.84923029,high,"https://tsuriba.info/spot/1196"
有田漁港,33.48389417,135.73632002,high,"https://tsuriba.info/spot/520"
阿野木漁港,33.4748451,135.7948523,high,"https://www.google.com/maps/search/%E9%98%BF%E9%87%8E%E6%9C%A8%E6%BC%81%E6%B8%AF%20%E4%B8%B2%E6%9C%AC%E7%94%BA%20%E9%87%A3%E3%82%8A"
須江漁港,33.4787742,135.7625317,high,"https://www.google.com/maps/search/%E9%A0%88%E6%B1%9F%E6%BC%81%E6%B8%AF%20%E4%B8%B2%E6%9C%AC%E7%94%BA%20%E9%87%A3%E3%82%8A"
